iter	Logloss
0	0.6924222534
1	0.6916291138
2	0.6909016846
3	0.690150708
4	0.6894210083
5	0.6886468872
6	0.6879121216
7	0.687129187
8	0.6864316772
9	0.6857331421
10	0.685043335
11	0.684245459
12	0.6835315552
13	0.6828310059
14	0.6820498169
15	0.6814442749
16	0.6809465332
17	0.6801947021
18	0.6794499023
19	0.6787026489
20	0.6780188965
21	0.6774168213
22	0.6768344849
23	0.6762456787
24	0.6755360229
25	0.6751208496
26	0.6744461182
27	0.6737900024
28	0.6731325928
29	0.6724604858
30	0.6718128662
31	0.6713994141
32	0.6707743896
33	0.6701421753
34	0.6695804687
35	0.6689315918
36	0.6683206421
37	0.6678057739
38	0.6672021851
39	0.6665868164
40	0.6661109009
41	0.6657394897
42	0.6653155396
43	0.6649483643
44	0.6643441772
45	0.6637788452
46	0.6632112549
47	0.6626395264
48	0.6620953979
49	0.6617422241
50	0.6611568848
51	0.6605712646
52	0.6600275391
53	0.6594957031
54	0.6591557861
55	0.6586108154
56	0.6580184082
57	0.6575903687
58	0.6570122559
59	0.6566837402
60	0.6561783813
61	0.6557168335
62	0.6552710693
63	0.6547411743
64	0.6542208496
65	0.6539050903
66	0.6533790771
67	0.652872876
68	0.6525161011
69	0.6520314087
70	0.6515018188
71	0.650988562
72	0.6506877686
73	0.6502247192
74	0.6497349487
75	0.6493474609
76	0.6490081299
77	0.6484969727
78	0.6480230103
79	0.6477361816
80	0.6473964478
81	0.6468491821
82	0.6463776001
83	0.6459409668
84	0.6456640625
85	0.6451902832
86	0.6447214355
87	0.6442767944
88	0.6438073975
89	0.6433044678
90	0.6430385864
91	0.6425857544
92	0.6421682495
93	0.6417338013
94	0.6413546021
95	0.6408707764
96	0.6404723999
97	0.6399817871
98	0.6395192139
99	0.6391083496
100	0.6387597168
101	0.6382873657
