iter	Passed	Remaining
0	12	16404
1	22	15200
2	57	26119
3	72	24526
4	88	23925
5	105	23760
6	119	23124
7	137	23155
8	155	23323
9	180	24386
10	195	24014
11	213	23953
12	229	23742
13	247	23795
14	261	23434
15	273	22963
16	292	23139
17	333	24899
18	345	24385
19	359	24117
20	373	23838
21	388	23635
22	408	23767
23	456	25412
24	483	25836
25	525	26974
26	559	27599
27	575	27365
28	588	27001
29	641	28453
30	691	29625
31	726	30138
32	772	31079
33	797	31097
34	814	30852
35	837	30787
36	852	30487
37	873	30398
38	895	30320
39	927	30608
40	964	31044
41	980	30758
42	997	30545
43	1020	30517
44	1059	30950
45	1104	31559
46	1157	32342
47	1187	32465
48	1206	32272
49	1232	32298
50	1266	32507
51	1336	33617
52	1416	34920
53	1510	36536
54	1573	37337
55	1617	37653
56	1656	37856
57	1678	37681
58	1714	37810
59	1804	39100
60	1846	39314
61	1898	39742
62	1945	40056
63	1991	40331
64	2014	40138
65	2047	40141
66	2102	40582
67	2163	41098
68	2206	41276
69	2267	41788
70	2285	41489
71	2306	41262
72	2369	41770
73	2449	42571
74	2496	42767
75	2531	42762
76	2564	42722
77	2608	42876
78	2629	42639
79	2645	42329
80	2668	42138
81	2689	41917
82	2708	41672
83	2721	41333
84	2745	41186
85	2764	40945
86	2790	40831
87	2803	40521
88	2817	40236
89	2853	40261
90	2870	40033
91	2893	39875
92	2943	40102
93	2960	39868
94	2972	39584
95	2986	39323
96	3006	39149
97	3021	38903
98	3035	38661
99	3053	38472
100	3090	38524
101	3107	38331
102	3121	38094
103	3175	38351
104	3198	38234
105	3214	38024
106	3233	37870
107	3257	37761
108	3267	37498
109	3282	37296
110	3296	37088
111	3316	36953
112	3328	36735
113	3346	36577
114	3362	36406
115	3378	36228
116	3390	36022
117	3434	36147
118	3448	35961
119	3467	35826
120	3483	35668
121	3505	35574
122	3526	35469
123	3549	35375
124	3563	35205
125	3581	35072
126	3615	35103
127	3648	35112
128	3664	34973
129	3707	35081
130	3722	34927
131	3736	34758
132	3777	34853
133	3813	34892
134	3830	34759
135	3846	34621
136	3857	34435
137	3875	34315
138	3891	34182
139	3909	34069
140	3940	34069
141	3958	33956
142	3981	33883
143	4015	33910
144	4031	33777
145	4049	33673
146	4078	33654
147	4097	33558
148	4125	33532
149	4147	33459
150	4180	33469
151	4204	33415
152	4225	33337
153	4243	33230
154	4289	33349
155	4323	33370
156	4343	33279
157	4378	33311
158	4403	33261
159	4433	33248
160	4470	33292
161	4500	33280
162	4517	33172
163	4548	33172
164	4562	33042
165	4577	32924
166	4586	32767
167	4599	32632
168	4613	32510
169	4620	32340
170	4633	32217
171	4651	32124
172	4678	32099
173	4696	32009
174	4734	32062
175	4749	31953
176	4765	31852
177	4779	31738
178	4795	31638
179	4813	31557
180	4836	31502
181	4855	31428
182	4871	31331
183	4885	31222
184	4903	31145
185	4919	31053
186	4969	31170
187	4990	31111
188	5011	31051
189	5028	30962
190	5044	30877
191	5062	30796
192	5114	30924
193	5125	30806
194	5155	30802
195	5170	30704
196	5179	30580
197	5190	30463
198	5203	30357
199	5228	30327
200	5238	30208
201	5280	30272
202	5316	30300
203	5330	30203
204	5367	30242
205	5380	30142
206	5410	30139
207	5491	30414
208	5574	30701
209	5602	30679
210	5612	30561
211	5623	30454
212	5638	30363
213	5657	30294
214	5687	30289
215	5707	30228
216	5722	30140
217	5737	30057
218	5768	30054
219	5786	29984
220	5799	29890
221	5822	29846
222	5835	29752
223	5862	29729
224	5878	29655
225	5896	29588
226	5927	29587
227	5967	29628
228	5992	29593
229	6006	29507
230	6022	29435
231	6042	29378
232	6058	29306
233	6074	29230
234	6091	29159
235	6121	29156
236	6138	29088
237	6152	29003
238	6172	28950
239	6186	28868
240	6201	28793
241	6215	28715
242	6232	28650
243	6245	28567
244	6265	28515
245	6283	28453
246	6317	28467
247	6349	28470
248	6398	28547
249	6417	28493
250	6444	28471
251	6459	28400
252	6483	28366
253	6507	28334
254	6538	28333
255	6556	28274
256	6576	28226
257	6588	28142
258	6604	28076
259	6632	28058
260	6645	27982
261	6664	27931
262	6697	27934
263	6714	27875
264	6733	27821
265	6760	27804
266	6776	27739
267	6791	27671
268	6828	27694
269	6863	27706
270	6876	27632
271	6896	27587
272	6938	27628
273	6960	27586
274	6977	27528
275	7007	27521
276	7025	27466
277	7045	27421
278	7064	27372
279	7076	27293
280	7107	27291
281	7122	27225
282	7137	27164
283	7162	27138
284	7174	27060
285	7189	26999
286	7207	26946
287	7225	26893
288	7249	26866
289	7269	26821
290	7289	26778
291	7306	26725
292	7327	26683
293	7352	26660
294	7372	26615
295	7395	26585
296	7417	26548
297	7436	26500
298	7452	26445
299	7466	26381
300	7479	26313
301	7518	26341
302	7529	26266
303	7544	26208
304	7562	26157
305	7579	26106
306	7600	26068
307	7612	26000
308	7633	25962
309	7648	25907
310	7665	25854
311	7702	25872
312	7718	25818
313	7756	25840
314	7769	25775
315	7787	25726
316	7804	25678
317	7818	25618
318	7835	25570
319	7866	25565
320	7910	25603
321	7925	25547
322	7934	25474
323	7966	25474
324	7983	25424
325	8010	25407
326	8034	25380
327	8045	25314
328	8074	25303
329	8128	25369
330	8139	25303
331	8156	25256
332	8171	25200
333	8188	25153
334	8201	25095
335	8220	25054
336	8233	24992
337	8268	25000
338	8282	24945
339	8301	24905
340	8347	24945
341	8383	24955
342	8396	24897
343	8410	24839
344	8419	24771
345	8434	24717
346	8502	24820
347	8589	24977
348	8641	25031
349	8653	24971
350	8676	24940
351	8707	24935
352	8740	24934
353	8760	24894
354	8777	24850
355	8806	24835
356	8819	24779
357	8859	24796
358	8873	24743
359	8888	24689
360	8902	24635
361	8922	24597
362	8939	24552
363	8957	24508
364	8983	24488
365	8996	24434
366	9017	24399
367	9036	24359
368	9077	24378
369	9090	24322
370	9108	24279
371	9126	24238
372	9144	24196
373	9158	24145
374	9173	24094
375	9191	24053
376	9220	24041
377	9237	23998
378	9255	23956
379	9272	23913
380	9286	23862
381	9300	23810
382	9338	23821
383	9363	23799
384	9384	23766
385	9411	23749
386	9433	23716
387	9453	23682
388	9469	23636
389	9483	23586
390	9501	23546
391	9515	23498
392	9530	23449
393	9554	23426
394	9565	23367
395	9603	23377
396	9613	23318
397	9627	23271
398	9645	23231
399	9660	23184
400	9678	23146
401	9705	23129
402	9719	23081
403	9730	23024
404	9745	22981
405	9769	22956
406	9802	22953
407	9818	22909
408	9834	22866
409	9848	22819
410	9865	22780
411	9885	22745
412	9898	22696
413	9918	22662
414	9936	22627
415	9981	22650
416	10000	22614
417	10014	22568
418	10028	22522
419	10043	22479
420	10066	22452
421	10088	22423
422	10105	22385
423	10121	22343
424	10138	22303
425	10184	22329
426	10199	22285
427	10217	22249
428	10233	22209
429	10254	22177
430	10270	22137
431	10285	22095
432	10300	22051
433	10314	22008
434	10331	21969
435	10364	21965
436	10382	21929
437	10399	21891
438	10415	21851
439	10430	21808
440	10456	21789
441	10465	21735
442	10480	21694
443	10492	21647
444	10521	21633
445	10543	21607
446	10578	21606
447	10595	21569
448	10620	21547
449	10634	21504
450	10652	21470
451	10691	21478
452	10706	21437
453	10753	21459
454	10767	21417
455	10799	21409
456	10829	21399
457	10856	21380
458	10880	21357
459	10902	21330
460	10940	21335
461	10958	21300
462	10974	21262
463	10995	21232
464	11025	21221
465	11060	21219
466	11074	21176
467	11091	21140
468	11107	21101
469	11123	21063
470	11146	21039
471	11163	21003
472	11181	20968
473	11198	20931
474	11211	20888
475	11233	20861
476	11250	20827
477	11265	20787
478	11284	20755
479	11346	20802
480	11378	20793
481	11421	20804
482	11441	20773
483	11462	20745
484	11480	20711
485	11496	20674
486	11512	20636
487	11527	20598
488	11542	20558
489	11556	20518
490	11598	20527
491	11610	20483
492	11640	20470
493	11655	20431
494	11690	20428
495	11704	20389
496	11721	20353
497	11753	20345
498	11783	20331
499	11799	20295
500	11818	20263
501	11847	20249
502	11862	20210
503	11888	20191
504	11899	20146
505	11919	20117
506	11930	20071
507	11944	20032
508	11958	19992
509	11973	19955
510	11987	19916
511	12006	19885
512	12021	19847
513	12046	19826
514	12058	19786
515	12069	19741
516	12084	19704
517	12100	19669
518	12117	19635
519	12132	19598
520	12151	19567
521	12195	19577
522	12209	19539
523	12221	19498
524	12239	19467
525	12265	19446
526	12279	19409
527	12325	19421
528	12343	19389
529	12390	19403
530	12425	19398
531	12438	19359
532	12456	19327
533	12500	19336
534	12508	19289
535	12520	19247
536	12535	19211
537	12549	19174
538	12563	19136
539	12598	19130
540	12616	19099
541	12629	19061
542	12647	19029
543	12668	19002
544	12682	18965
545	12707	18944
546	12724	18911
547	12746	18887
548	12779	18878
549	12796	18845
550	12812	18811
551	12826	18775
552	12841	18739
553	12864	18716
554	12902	18713
555	12919	18682
556	12948	18666
557	12970	18642
558	13015	18649
559	13037	18624
560	13058	18598
561	13087	18582
562	13114	18565
563	13131	18533
564	13164	18523
565	13180	18490
566	13207	18472
567	13222	18436
568	13239	18405
569	13250	18365
570	13272	18340
571	13286	18303
572	13302	18270
573	13315	18232
574	13356	18234
575	13373	18203
576	13392	18173
577	13407	18139
578	13420	18102
579	13434	18067
580	13456	18042
581	13476	18014
582	13492	17981
583	13509	17950
584	13523	17915
585	13537	17880
586	13553	17848
587	13573	17820
588	13594	17794
589	13620	17775
590	13632	17738
591	13678	17745
592	13770	17810
593	13825	17828
594	13869	17832
595	13887	17802
596	13909	17777
597	13940	17763
598	13954	17728
599	13969	17694
600	13991	17670
601	14007	17637
602	14025	17607
603	14040	17573
604	14058	17543
605	14074	17511
606	14090	17479
607	14109	17451
608	14142	17440
609	14173	17426
610	14190	17395
611	14238	17402
612	14251	17367
613	14274	17343
614	14307	17331
615	14322	17299
616	14355	17287
617	14381	17266
618	14407	17246
619	14424	17216
620	14439	17182
621	14453	17148
622	14463	17109
623	14485	17085
624	14504	17056
625	14519	17024
626	14538	16996
627	14563	16975
628	14575	16939
629	14615	16935
630	14642	16916
631	14666	16894
632	14681	16862
633	14702	16835
634	14718	16804
635	14732	16770
636	14750	16742
637	14771	16715
638	14787	16684
639	14806	16657
640	14826	16630
641	14840	16597
642	14859	16569
643	14876	16539
644	14891	16507
645	14914	16484
646	14933	16456
647	14953	16430
648	14969	16399
649	14984	16368
650	15000	16336
651	15014	16304
